demo,map,linetype,player,team,time (s),hp,death,action,target,target_team,targeted,value,uid,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20
3,luna square,log,dat plan b,BLU,0.695,0,,fortitude,Pot,BLU,0,1539,0
3,luna square,log,dat plan b,BLU,3.169,,,adreneline boost,xray1,BLU,0,2491,1
3,luna square,log,What a Shocker,BLU,4.156,0,,galvanic sentinel,!pos,,0,2907,2
3,luna square,log,Sarr Fire,BLU,4.948,0,,raptor pack,,,0,3256,3
3,luna square,log,dat plan b,BLU,5.314,,,clear mind,xray1,BLU,0,3476,4
3,luna square,log,Two Moons,RED,5.918,1839.0,,wild bastion,,,0,3812,5
3,luna square,log,xray1,BLU,5.958,0,,adreneline boost,dat plan b,BLU,0,3872,6
3,luna square,log,Sarr Fire,BLU,6.228,,,raptor pack,,,0,4024,7
3,luna square,log,Sarr Fire,BLU,6.614,,,toxins,,,0,4213,8
3,luna square,log,Just The Doctor,RED,7.443,0,,temporal mending,,,0,4665,9
3,luna square,log,White T Poison,BLU,7.467,0,,raptor pack,,,0,4744,10
3,luna square,log,xray1,BLU,7.576,,,phantom army,!pos,,0,4876,11
3,luna square,log,Nyx Spectra,RED,8.17,0,,spirit ward,,,0,5184,12
3,luna square,log,Pot,BLU,8.27,0,,aim,,BLU,0,5320,13
3,luna square,log,Cruel Existence,RED,8.822,1834.0,,raptor pack,,,0,5814,14
3,luna square,log,Sarr Fire,BLU,9.126,,,raptor pack,,,0,6101,15
3,luna square,log,White T Poison,BLU,9.402,,,raptor pack,,,0,6297,16
3,luna square,log,Two Moons,RED,9.576,,,toxins,,,0,6510,17
3,luna square,log,Just The Doctor,RED,9.925,1847.0,,temporal mending,,,0,6762,18
3,luna square,log,Just The Doctor,RED,10.545,1847.0,,aim,,,0,7376,19
3,luna square,log,What a Shocker,BLU,10.678,,,raptor pack,,,0,7441,20
3,luna square,log,Sarr Fire,BLU,11.063,,,raptor pack,,,0,7920,21
3,luna square,log,Sarr Fire,BLU,11.339,,,blaze,Two Moons,RED,0,8120,22
3,luna square,log,JC Pose,RED,11.515,1606.0,,bib,Sarr Fire,BLU,0,8270,23
3,luna square,log,Two Moons,RED,12.032,,,blaze,Sarr Fire,BLU,0,8649,24
3,luna square,log,Nyx Spectra,RED,12.165,1606.0,,mystic/flight,,,0,8722,25
3,luna square,log,Kencian X,RED,12.165,1606.0,,mystic/flight,,,0,8732,26
3,luna square,log,White T Poison,BLU,12.308,,,bib,Two Moons,RED,0,8864,27
3,luna square,log,Two Moons,RED,12.308,,,,,,1,8864,28
3,luna square,log,Pot,BLU,12.451,,,blaze,Two Moons,RED,0,8994,29
3,luna square,log,Chloranthy,RED,12.585,1590.0,,bib,Sarr Fire,BLU,0,9071,30
3,luna square,log,JC Pose,RED,12.762,,,dominate,Sarr Fire,BLU,0,9233,31
3,luna square,log,Cruel Existence,RED,13.275,,,blazing bolt,Sarr Fire,BLU,0,9618,32
3,luna square,log,Two Moons,RED,13.408,,,phase shift,,BLU,0,9688,33
3,luna square,log,Sarr Fire,BLU,13.175,,,strangler,Two Moons,RED,0,9542,32
3,luna square,log,Pot,BLU,13.727,,,dominate,Two Moons,RED,0,9934,34
3,luna square,log,Sarr Fire,BLU,13.861,1746.0,,,,,1,10016,35
3,luna square,log,Chloranthy,RED,13.861,,,dominate,Sarr Fire,BLU,0,10016,36
3,luna square,log,Just The Doctor,RED,13.969,,,char,Sarr Fire,BLU,0,10131,37
3,luna square,log,JC Pose,RED,13.969,,,ice blast,Sarr Fire,BLU,0,10138,38
3,luna square,log,Two Moons,RED,14.103,,,green,,,0,10218,39
3,luna square,log,dat plan b,BLU,14.103,,,absorb pain,Sarr Fire,BLU,0,10224,40
3,luna square,log,Kencian X,RED,14.243,,,absorb pain,Two Moons,RED,0,10363,41
3,luna square,log,Piceous,BLU,14.376,1834.2,,jaunt,!pos,,0,10444,42
3,luna square,log,Nyx Spectra,RED,14.376,,,absorb pain,Two Moons,RED,0,10450,43
3,luna square,log,What a Shocker,BLU,14.65,,,phase shift,,,0,10646,44
3,luna square,log,Pot,BLU,14.961,,,blazing bolt,Two Moons,RED,0,10880,45
3,luna square,log,Sarr Fire,BLU,14.961,579.0,,raptor pack,,,0,10906,46
3,luna square,log,Just The Doctor,RED,15.212,,,proton blast,Sarr Fire,BLU,0,11109,47
3,luna square,log,Two Moons,RED,15.212,1260.0,,aim,,,0,11115,48
3,luna square,log,Cruel Existence,RED,15.212,,,jaunt,!pos,,0,11122,49
3,luna square,log,Sarr Fire,BLU,15.212,1302.0,,green,,,0,11126,50
3,luna square,log,Sarr Fire,BLU,15.346,,,green,,,0,11218,51
